Net,Meta_Learning,Pretrain,Data, 5way_5shot, 5way_10shot, 10way_5shot, 10way_10shot
ProtoNet,True,True,Test,0.8441280025601386,0.8422459984838963,0.7880213335305453,0.8091670000672341
ProtoNet,True,True,Val,0.8581173351615667,0.8610859972566365,0.8027913337945938,0.8310009996294975
ProtoNet,False,True,Test,0.7242706684559584,0.7212440003082157,0.6255086658328771,0.6237979992449285
ProtoNet,False,True,Val,0.7111093344897031,0.6998139998301864,0.6154059992656112,0.6022799981445074
ProtoNet,True,False,Test,0.8334040019482373,0.8408459983110428,0.7841653337061405,0.7718209997296334
ProtoNet,True,False,Val,0.8426453353494405,0.8495699974149463,0.8004080016106367,0.8105779997348785
ProtoNet,False,False,Test,0.7314920018225909,0.7322060002818703,0.6485133327901362,0.6576539998799562
ProtoNet,False,False,Val,0.71833200135082,0.7144600000105799,0.6298373328715563,0.6254829986006022
ProtoNet(graph2vec),False,False,Test,0.8095213333333332,0.81745,0.7327953333333334,0.745579
NnNet,True,True,Test,0.9042893364071846,0.9249419988632201,0.8648059995353222,0.8943680015444754
NnNet,True,True,Val,0.9088053364157677,0.9312939978599548,0.873288668638468,0.9038270009577275
NnNet,False,True,Test,0.8847720030933619,0.9152239973962306,0.8384806660056114,0.8767040011525156
NnNet,False,True,Val,0.8776240024030209,0.9139559974730014,0.830467333751917,0.879457000476122
NnNet,True,False,Test,0.9006973359704018,0.9213919979870319,0.864235999339819,0.8915410012602806
NnNet,True,False,Val,0.9082346698105337,0.9315819987118245,0.8728993349552155,0.9045200011849402
NnNet,False,False,Test,0.887530669349432,0.913413997364044,0.8429146663844588,0.8790220008194446
NnNet,False,False,Val,0.8794213354527951,0.9157759975314139,0.8388066673398018,0.8829430002272127
NnNet(graph2vec),False,False,Test,0.8787906666666666,0.9100900000000001,0.8284546666666668,0.866737